ROI,Xpos,Ypos
roi 1,730.7044444,1255.993333
roi 2,701.93,1439.145882
roi 3,762.765625,1554.218125
roi 4,712.9207692,2030.384615
roi 5,738.1461111,2144.528333
roi 6,632.9254545,1866.21
roi 7,632.9254545,1623.476364
roi 8,934.11,1669.75
roi 9,837.3088,1668.6784
roi 10,788.7945455,1375.06
roi 11,705.27875,1753.46875
roi 12,707.4580952,1836.868571
roi 13,199.8655556,656.195
roi 14,317.94,846.2055556
roi 15,608.2688372,1156.586512
roi 16,830.29875,1773.56125
roi 17,796.7580952,1910.009524
roi 18,817.2758333,2008.345833
roi 19,827.5453333,1481.029333
roi 20,894.6451613,1552.507742
roi 21,709.6693333,1529.846667
roi 22,594.77,1565.566667
roi 23,833.1323077,1865.523077
roi 24,838.2095652,1899.988696
roi 25,969.2346667,657.088
roi 26,1307.729677,833.4987097
roi 27,1051.192222,1716.384444
roi 28,1278.320909,646.0472727
roi 29,920.4173333,815.4466667
roi 30,682.7169697,1331.76303
roi 31,683.7993939,572.9836364
roi 32,810.764375,1160.74
roi 33,1491.157241,974.1337931
roi 34,1407.4,1380.269167
roi 35,1465.2664,817.828
roi 36,938.7536,1288.6176
roi 37,953.5458824,1466.461176
roi 38,1023.41,925.8123077
roi 39,898.39,1209.217143
roi 40,537.9,1377.88
roi 41,1300.24,917.3148148
roi 42,1288.333333,1525.084
roi 43,862.9580645,601.3187097
roi 44,757.98,1682.48
roi 45,1264.52,1056.4
roi 46,648.35,2259.13
roi 47,631.3541935,1992.670323
roi 48,590.305,777.86625
roi 49,1384.044615,1287.820769
roi 50,950.3941176,926.4588235
roi 51,1375.507143,1456.705714
roi 52,1196.056667,1188.274167
roi 53,896.7663636,1990.824091
roi 54,1555.088462,768.5069231
roi 55,1414.20381,1026.364762
roi 56,1098.19875,1913.650625
roi 57,1540.0105,1158.5075
roi 58,1002.573333,586.9875
roi 59,1534.206,643.693
roi 60,927.4125,1934.673333
roi 61,1262.64,831.74
roi 62,1242.691111,1008.93
roi 63,1065.24,754.66
roi 64,1138.607,1466.146
roi 65,1093.73375,1531.335
roi 66,871.6,1089.3
roi 67,1043.5025,1456.918333
roi 68,925.18,529.06
roi 69,1104.970667,1401.85
roi 70,768.4729032,1512.17871
roi 71,1407.4,648.0091667
roi 72,148.27,1736.087143
roi 73,151.0176923,1886.817692
roi 74,1194.232258,1706.910323
roi 75,1224.5136,523.4952
roi 76,960.9,482.06
roi 77,1048.32,885.32
roi 78,556.3321739,439.3513043
roi 79,1239.353636,1317.420909
roi 80,1199.574545,791.3627273
roi 81,939.1573913,1143.656522
roi 82,1128.134545,758.89
roi 83,1305.166897,1632.490345
roi 84,1076.99,498.2963636
roi 85,1129.21697,418.1969697
roi 86,1123.741176,1010.505882
roi 87,464.1274074,2082.183704
roi 88,978.76,1121.772727
roi 89,839.0317647,1004.202353
roi 90,996.62,1919.79
roi 91,1223.838889,1657.843333
roi 92,520.3533333,883.91
roi 93,680.6680952,937.0647619
roi 94,588.5358491,1265.878113
roi 95,671.3128571,636.4214286
roi 96,878.18,793.2
roi 97,1168.076,695.487
roi 98,676.033,513.315
roi 99,657.7902857,854.0582857
roi 100,403.668,1304.640571
roi 101,941.0555556,340.1722222
roi 102,814.73,1460.6
roi 103,1021.393548,1580.161935
roi 104,1192.268182,1076.310909
roi 105,765.1269231,637.3046154
roi 106,697.9611111,2095.909444
roi 107,1032.34,642.8
roi 108,1181.471,491.883
roi 109,871.6,351.9371429
roi 110,1388.13,907.41
roi 111,1099.897391,1137.444348
roi 112,1261.543333,652.4741667
roi 113,954.9466667,1734.4925
roi 114,962.31,1874.67
roi 115,1113.82625,1549.195
roi 116,1510.203902,464.2
roi 117,1218.216296,1443.192593
roi 118,988.6822222,795.9991111
roi 119,995.0669565,1257.805217
roi 120,1218.877778,1575.488889
roi 121,1301.35625,701.96125
roi 122,1569.763636,444.7163636
roi 123,1580.2848,573.5032
roi 124,1562.186667,1003.572
roi 125,1352.3912,510.636
roi 126,1131.734783,810.5286957
roi 127,1327.754054,1134.191351
roi 128,1455.026667,533.4075
roi 129,1380.998261,528.6513043
roi 130,1145.162927,583.1214634
roi 131,1088.1525,1648.913333
roi 132,1121.64,669.59
roi 133,1689.038462,659.2861538
roi 134,1447.088889,911.3614815
roi 135,1313.138889,1001.984444
roi 136,1437.166667,1186.17697
roi 137,1061.445185,1839.42
roi 138,1458.003333,750.9522222
roi 139,1343.48,873.1
roi 140,945.7876923,508.1630769
roi 141,1452.05,651.73
roi 142,949.291,1007.144
roi 143,776.8046154,301.3992308
roi 144,416.6952941,1162.841176
roi 145,165.3858333,1555.8925
roi 146,1076.99,1759.05
roi 147,1001.085,1709.935
roi 148,995.727,1162.526
roi 149,1208.149375,1363.339375
roi 150,1148.43,1237.282857
roi 151,1166.29,1630.202857
roi 152,1530.931667,1244.830833
roi 153,979.5718182,1997.724545
roi 154,1322.565,1585.659167
roi 155,1317.049412,1718.602353
roi 156,844.81,2089.46
roi 157,175.06,1761.485455
roi 158,974.295,467.9208333
roi 159,1311.551333,1225.631333
roi 160,1371.68,964.28
roi 161,1535.526087,881.1921739
roi 162,1428.60875,1255.62125
roi 163,374.4966667,2173.798889
