ROI,Xpos,Ypos
roi 1,1059.183997,564.0947411
roi 2,708.441928,1000.27776
roi 3,1115.930648,1415.092561
roi 4,938.0173648,441.7934265
roi 5,1179.433104,513.626959
roi 6,1118.649488,979.3001156
roi 7,953.2803759,973.3658434
roi 8,627.7905523,1344.798947
roi 9,881.3223446,1440.510249
roi 10,1218.203828,1212.545041
roi 11,1154.595215,634.6715682
roi 12,872.2710801,1116.170742
roi 13,1080.575281,724.6860258
roi 14,857.3534773,1571.443952
roi 15,787.8808237,1532.034024
roi 16,807.6616276,1837.107364
roi 17,696.909606,1902.841136
roi 18,1150.199615,1443.715287
roi 19,964.3666182,1577.052273
roi 20,716.4628896,1188.485477
roi 21,963.356058,1255.07813
roi 22,970.8338194,1112.393942
roi 23,1095.682484,1118.936983
roi 24,1099.421365,1047.594889
roi 25,1319.055967,951.7983902
roi 26,877.8414811,839.2527683
roi 27,769.89362,851.4799707
roi 28,1351.847014,667.3647345
roi 29,776.5883414,1406.250639
roi 30,1039.295913,829.8297264
roi 31,886.3298028,1018.542723
roi 32,708.9851282,1331.169665
roi 33,719.3428903,1474.788573
roi 34,820.5960299,907.7907017
roi 35,959.6550973,1496.325057
roi 36,951.2426157,1656.844768
roi 37,732.3910527,1055.186411
roi 38,806.6889874,1685.038054
roi 39,962.5350979,1782.628153
roi 40,831.9643523,1373.383753
roi 41,740.9172945,1404.381199
roi 42,1039.447593,1509.449059
roi 43,911.5672476,536.9835891
roi 44,1036.664725,1011.288396
roi 45,939.4873406,1369.263607
roi 46,1398.067046,467.9475526
roi 47,1366.232677,1246.011888
roi 48,1446.708792,904.834861
roi 49,1115.235767,404.5813232
roi 50,1162.042337,730.2329983
roi 51,1250.250971,899.6488029
roi 52,1420.969587,640.3281349
roi 53,1456.018074,556.5747928
roi 54,1282.33644,458.0499736
roi 55,1640.648519,1011.951682
roi 56,1028.00343,704.0463418
roi 57,964.1390979,557.6232731
roi 58,1285.178521,574.4482364
roi 59,1460.805435,977.1116751
roi 60,908.8389272,930.2998261
roi 61,1361.390523,721.518419
roi 62,1226.215309,1358.27655
roi 63,1259.082196,1413.652561
roi 64,1045.055914,1402.435918
roi 65,993.1912636,344.5317114
roi 66,1606.217944,591.2731996
roi 67,1553.735723,972.2267578
roi 68,1341.012412,490.1873799
roi 69,1532.437969,442.0949104
roi 70,1164.96933,820.635541
roi 71,1015.738308,426.1936474
roi 72,1322.251768,1338.718406
roi 73,1365.103737,1182.239155
roi 74,1475.557141,1280.643986
roi 75,1316.868255,1243.797402
roi 76,1407.909135,1079.969885
roi 77,1247.370971,613.3457068
roi 78,1437.027314,879.5643083
roi 79,1348.124162,428.1675386
roi 80,931.5755719,1861.485928
roi 81,676.1182417,1275.793654
roi 82,571.0503813,1574.323952
roi 83,885.5467628,1715.99758
roi 84,550.3348571,1287.086136
roi 85,892.013964,1251.339249
roi 86,1177.933913,1284.208189
roi 87,867.1760537,1228.90131
roi 88,1376.396656,986.4453139
roi 89,1272.160694,1129.974265
roi 90,1300.844953,989.0518084
roi 91,1307.371965,1174.742434
roi 92,1103.390359,1564.571108
roi 93,665.3310396,1310.997341
roi 94,1196.097708,1123.688536
roi 95,622.1131983,568.9640173
roi 96,976.5655893,623.851055
roi 97,916.4177172,639.434992
roi 98,318.811676,1950.987002
roi 99,1301.877297,1089.999839
roi 100,1567.504158,742.2562158
roi 101,762.3827507,522.2865032
roi 102,1650.155347,679.1660168
roi 103,1405.835853,536.8732763
roi 104,1412.158273,1222.841267
roi 105,1313.336951,1533.433113
roi 106,775.0751572,1776.380696
roi 107,792.2008246,1961.488668
roi 108,1174.833504,594.4984803
roi 109,1133.726354,636.77154
roi 110,1084.054413,1292.062823
roi 111,1171.521416,1535.630997
roi 112,1266.074686,1531.680272
roi 113,1076.414137,706.5834394
roi 114,791.2281844,1809.419358
roi 115,799.1868689,1395.053394
roi 116,707.3430479,1334.064358
roi 117,782.8216396,1664.490774
roi 118,1104.919373,446.3131422
roi 119,1184.832768,1351.636655
